rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
AY1 K ER0	1	5	striker	3.9	striker (3.9)	striker, biker, riker, stryker, hiker
EH1 S L IY0	1	5	leslie	3.9	leslie (3.9),  wesley (3.7),  expressly (3.5)	leslie, wesley, expressly, presley, lesley
EH1 P ER0 D	1	5	shepherd	3.9	shepherd (3.9),  leopard (3.6),  peppered (2.8)	shepherd, leopard, shepard, sheppard, peppered
AE1 NG K AH0	1	5	lanka	3.89	lanka (3.9)	lanka, sri-lanka, casablanca, franca, salamanca
EH1 D ER0	1	5	header	3.88	header (3.9),  cheddar (3.3),  fedor (2.6)	header, cheddar, shredder, spreader, fedor
AA1 R M AH0	1	5	karma	3.88	karma (3.9)	karma, sharma, pharma, dharma, parma
EH1 R AH0 S	1	5	terrace	3.88	terrace (3.9),  embarrass (3.4),  polaris (3.1),  heiress (3.1),  ferrous (2.8)	terrace, embarrass, polaris, heiress, ferrous
AW1 N S IH0 NG	1	5	announcing	3.87	announcing (3.9)	announcing, bouncing, denouncing, pronouncing, renouncing
IY1 AH0 N Z	1	5	europeans	3.87	europeans (3.9),  europeans' (3.9),  eons (2.7)	europeans, europeans', koreans, koreans', eons
AY1 D AH0 N	1	5	biden	3.86	biden (3.9),  poseidon (3.1),  haydn (2.8)	biden, widen, poseidon, dryden, haydn
AE1 N D AH0 L Z	1	5	handles	3.85	handles (3.9),  scandals (3.5)	handles, candles, scandals, sandals, vandals
AH1 P T IH0 D	1	5	interrupted	3.85	interrupted (3.9)	interrupted, corrupted, disrupted, erupted, uninterrupted
AA1 T OW2	1	5	tomato	3.85	tomato (3.9)	tomato, otto, lotto, grotto, staccato
AE1 T IH0 NG	1	5	batting	3.84	batting (3.8)	batting, chatting, combating, patting, combatting
AH1 N T IH0 D	1	5	confronted	3.84	confronted (3.8)	confronted, hunted, fronted, stunted, blunted
IH1 CH AH0 Z	1	5	switches	3.84	switches (3.8)	switches, witches, riches, ditches, itches
EH1 R AH0 L Z	1	5	barrels	3.83	barrels (3.8),  perils (3.1),  carols (2.9),  carroll's (2.6),  carol's (2.5)	barrels, perils, carols, carroll's, carol's
EY1 N AH0	1	5	dana	3.82	dana (3.8)	dana, elena, raina, irena, shana
AE1 M P T AH0 N	1	5	southampton	3.81	southampton (3.8)	southampton, hampton, northampton, brampton, frampton
AE1 G IY0	1	5	maggie	3.8	maggie (3.8),  shaggy (3.2)	maggie, shaggy, baggy, aggie, craggy
AE1 R AH0	1	5	clara	3.8	clara (3.8),  jarrod (2.7)	clara, zara, ara, dara, jarrod
EH1 R OW0 Z	1	5	arrows	3.8	arrows (3.8),  pharaohs (2.7)	arrows, narrows, sparrows, barrows, pharaohs
OW1 Z AH0	1	5	rosa	3.8	rosa (3.8)	rosa, mendoza, espinosa, spinoza, espinoza
EH1 S T AH0 N	1	5	preston	3.79	preston (3.8),  intestine (3.2)	preston, weston, intestine, reston, heston
OW1 M IH0 NG	1	5	wyoming	3.78	wyoming (3.8)	wyoming, roaming, combing, homing, foaming
ER1 AH0 N S	1	5	occurrence	3.77	occurrence (3.8)	occurrence, recurrence, deterrence, transference, concurrence
EY1 N OW0	1	5	volcano	3.76	volcano (3.8)	volcano, moreno, bueno, plano, zeno
AO1 G IH0 NG	1	5	logging	3.76	logging (3.8)	logging, jogging, clogging, dogging, hogging
IY1 K AH0	1	5	rica	3.75	rica (3.8)	rica, eureka, mika, topeka, paprika
EH1 M B AH0 L	1	5	resemble	3.73	resemble (3.7)	resemble, assemble, tremble, disassemble, reassemble
AE1 T AH0 M	1	5	atom	3.72	atom (3.7),  chatham (3.3),  stratum (2.7)	atom, chatham, stratum, datum, sense-datum
UH1 K ER0	1	5	hooker	3.71	hooker (3.7)	hooker, booker, cooker, snooker, looker
AH1 B IH0 NG	1	5	rubbing	3.71	rubbing (3.7)	rubbing, scrubbing, clubbing, dubbing, subbing
UW1 L ER0 Z	1	5	rulers	3.7	rulers (3.7)	rulers, schoolers, coolers, jewelers, jewellers
EY1 S IH0 V	1	5	invasive	3.69	invasive (3.7)	invasive, persuasive, pervasive, abrasive, evasive
AA1 N T IY0	1	5	monte	3.69	monte (3.7),  conti (2.8)	monte, conti, bronte, durante, monti
AA1 R L OW0	1	5	carlo	3.69	carlo (3.7),  harlow (3.1)	carlo, harlow, marlow, giancarlo, marlo
IH1 N D ER0	1	5	tinder	3.69	tinder (3.7)	tinder, hinder, cinder, winder, linder
AH1 S T ER0 D	1	5	mustard	3.69	mustard (3.7),  mustered (3.2)	mustard, custard, mustered, clustered, flustered
ER1 JH IH0 Z	1	5	urges	3.69	urges (3.7)	urges, emerges, surges, merges, purges
EH1 T OW0	1	5	ghetto	3.69	ghetto (3.7)	ghetto, stiletto, palmetto, libretto, neto
IH1 T AH0 N Z	1	5	britain's	3.68	britain's (3.7),  kittens (3.5),  britons (3.1),  britons' (3.1)	britain's, kittens, britons, britons', mittens
EH1 R IH0 T	1	5	garrett	3.67	garrett (3.7),  disparate (3.3),  merritt (3.1),  garret (2.9)	garrett, barrett, disparate, merritt, garret
OW1 K ER0 Z	1	5	brokers	3.67	brokers (3.7),  brokers' (3.7)	brokers, brokers', smokers, smokers', jokers
AA1 R T AH0	1	5	jakarta	3.67	jakarta (3.7)	jakarta, marta, sparta, carta, vallarta
EH1 N AH0 N	1	5	brennan	3.65	brennan (3.6),  lennon (3.6),  lenin (3.4)	brennan, lennon, lenin, mclennan, glennon
EH1 N S IH0 NG	1	5	sensing	3.64	sensing (3.6)	sensing, fencing, commencing, dispensing, condensing
ER1 SH AH0 N	1	5	assertion	3.63	assertion (3.6)	assertion, insertion, coercion, exertion, desertion
AY1 S AH0 N	1	5	tyson	3.63	tyson (3.6),  glycine (2.6)	tyson, bison, dyson, bryson, glycine
OW1 M OW0	1	5	homo	3.61	homo (3.6)	homo, cuomo, como, romo, sumitomo
AE1 S P ER0	1	5	jasper	3.59	jasper (3.6),  caspar (2.9)	jasper, casper, caspar, kasper, gaspar
OW1 S IH0 S	1	5	tuberculosis	3.58	tuberculosis (3.6)	tuberculosis, osteoporosis, osmosis, atherosclerosis, endometriosis
AH1 SH IH0 Z	1	5	brushes	3.58	brushes (3.6)	brushes, rushes, crushes, blushes, flushes
AY1 T N AH0 S	1	5	brightness	3.57	brightness (3.6)	brightness, whiteness, lightness, tightness, politeness
EH1 N AH0 M	1	5	venom	3.57	venom (3.6),  denim (3.5),  denham (2.8),  plenum (2.8)	venom, denim, denham, plenum, phenom
UW1 S T ER0	1	5	booster	3.56	booster (3.6)	booster, rooster, brewster, schuster, wooster
AE1 N T AH0 N	1	5	canton	3.55	canton (3.5),  plantain (2.7)	canton, stanton, scranton, plantain, blanton
EY1 Z ER0 Z	1	5	lasers	3.54	lasers (3.5),  razors (2.9)	lasers, blazers, razors, appraisers, raisers
EH1 G ER0	1	5	mcgregor	3.54	mcgregor (3.5),  beggar (3.2),  jaeger (2.9)	mcgregor, gregor, beggar, macgregor, jaeger
AE1 CH ER0	1	5	catcher	3.54	catcher (3.5),  stature (3.5)	catcher, thatcher, stature, dispatcher, hatcher
AE1 G ER0	1	5	dagger	3.54	dagger (3.5)	dagger, swagger, jagger, jaeger, stagger
OW1 B IH0 K	1	5	homophobic	3.5	homophobic (3.5)	homophobic, aerobic, anaerobic, claustrophobic, phobic
IY1 L D IH0 NG	1	5	fielding	3.49	fielding (3.5)	fielding, yielding, wielding, shielding, unyielding
OW1 SH AH0	1	5	scotia	3.49	scotia (3.5),  moshe (3.0)	scotia, osha, moshe, kenosha, xhosa
AE1 N T ER0	1	5	banter	3.48	banter (3.5),  cantor (3.1)	banter, cantor, planter, canter, kanter
EH1 K ER0	1	5	becker	3.48	becker (3.5)	becker, decker, checker, dekker, wrecker
EH1 JH IH0 NG	1	5	alleging	3.47	alleging (3.5)	alleging, edging, dredging, pledging, hedging
AH1 F IH0 NG	1	5	stuffing	3.47	stuffing (3.5)	stuffing, puffing, bluffing, roughing, huffing
AH1 L SH AH0 N	1	5	propulsion	3.46	propulsion (3.5)	propulsion, expulsion, compulsion, emulsion, revulsion
AO1 L T ER0 Z	1	5	walters	3.45	walters (3.5),  walters' (3.5),  altars (2.9),  walter's (2.6)	walters, walters', alters, altars, walter's
AH1 B IY0	1	5	chubby	3.43	chubby (3.4)	chubby, hubby, grubby, stubby, tubby
AY1 P ER0 Z	1	5	diapers	3.43	diapers (3.4),  snipers' (3.2)	diapers, snipers, snipers', wipers, vipers
IH1 L IH0 K	1	5	acrylic	3.42	acrylic (3.4)	acrylic, idyllic, cyrillic, carboxylic, hydrophilic
AY1 K ER0 Z	1	5	strikers	3.42	strikers (3.4),  strikers' (3.4)	strikers, strikers', bikers, hikers, rikers
UW1 D AH0 L	1	5	noodle	3.42	noodle (3.4),  feudal (3.4),  udall (2.7)	noodle, feudal, doodle, poodle, udall
EH1 L T AH0 N	1	5	elton	3.39	elton (3.4)	elton, shelton, felton, skelton, melton
UW1 K AH0	1	5	luca	3.38	luca (3.4),  paducah (2.5)	luca, luka, bazooka, lucca, paducah
IY1 B IY0	1	5	phoebe	3.38	phoebe (3.4),  hebei (2.6)	phoebe, bebe, freebie, uribe, hebei
AH1 M B OW0	1	5	jumbo	3.38	jumbo (3.4)	jumbo, colombo, dumbo, gumbo, mumbo
UW1 G ER0	1	5	cougar	3.38	cougar (3.4),  kruger (3.2)	cougar, kruger, krueger, ruger, luger
AA1 N Y AH0	1	5	tanya	3.38	tanya (3.4)	tanya, lasagna, tania, tonya, titania
OW1 ZH ER0 Z	1	5	closures	3.37	closures (3.4)	closures, disclosures, exposures, enclosures, foreclosures
AO1 L T IH0 NG	1	5	assaulting	3.36	assaulting (3.4)	assaulting, halting, defaulting, vaulting, faulting
AY1 N D ER0 Z	1	5	reminders	3.36	reminders (3.4)	reminders, binders, grinders, finders, blinders
AE1 M IH0 NG	1	5	slamming	3.35	slamming (3.4)	slamming, jamming, damning, cramming, ramming
EH1 S T AH0	1	5	fiesta	3.34	fiesta (3.3)	fiesta, podesta, esta, vesta, testa
IH1 L T IH0 D	1	5	tilted	3.33	tilted (3.3)	tilted, quilted, wilted, stilted, jilted
EY1 T AH0 M	1	5	tatum	3.32	tatum (3.3),  verbatim (3.1)	tatum, ultimatum, verbatim, datum, sense-datum
AH1 B L IH0 K S	1	5	republics	3.32	republics (3.3),  public's (3.2),  publix (2.7)	republics, public's, republic's, publix, publics
EY1 S ER0 Z	1	5	pacers	3.31	pacers (3.3)	pacers, racers, chasers, tracers, spacers
AE1 L IH0 N	1	5	palin	3.29	palin (3.3),  allyn (2.5)	palin, fallin, malin, ballin, allyn
AE1 NG ER0	1	5	hangar	3.29	hangar (3.3),  hanger (3.2)	hangar, hanger, banger, langer, sanger
AY1 M ER0 Z	1	5	climbers	3.28	climbers (3.3),  climbers' (3.3)	climbers, climbers', old-timers, timers, primers
AE1 M P ER0	1	5	camper	3.26	camper (3.3)	camper, hamper, damper, tamper, pamper
AO1 R D AH0 N Z	1	5	jordan's	3.25	jordan's (3.2),  gordon's (3.0),  wardens (3.0),  wardens' (3.0),  jordans (2.9)	jordan's, gordon's, wardens, wardens', jordans
EH1 L IY0 Z	1	5	kelly's	3.22	kelly's (3.2),  bellies (2.9),  delhi's (2.5)	kelly's, bellies, alleles, jellies, delhi's
EY1 Z AH0 N	1	5	hasan	3.21	hasan (3.2),  brazen (3.1),  maison (3.1)	hasan, brazen, maison, kazan, jayson
AH1 T ER0 D	1	5	uttered	3.18	uttered (3.2)	uttered, cluttered, buttered, muttered, shuttered
EH1 R AH0 N Z	1	5	barons	3.17	barons (3.2),  aaron's (2.8),  karen's (2.6)	barons, aaron's, karen's, herons, sharon's
AE1 S ER0	1	5	passer	3.17	passer (3.2),  vassar (2.6)	passer, nasser, placer, vassar, yasser
AY1 F ER0	1	5	decipher	3.14	decipher (3.1)	decipher, cipher, pfeiffer, cypher, heifer
IH1 N CH IH0 NG	1	5	lynching	3.06	lynching (3.1)	lynching, pinching, clinching, unflinching, inching
AE1 N Z AH0	1	5	bonanza	3.05	bonanza (3.0)	bonanza, stanza, extravaganza, lufthansa, lanza
AE1 B AH0 L	1	5	scrabble	3.04	scrabble (3.0),  babel (2.9)	scrabble, rabble, babel, babble, dabble
EY1 K OW0	1	5	draco	3.04	draco (3.0)	draco, waco, paco, seiko, keiko
EY1 G ER0	1	5	agar	3.02	agar (3.0),  yeager (2.6)	agar, yeager, hagar, hager, jager
IH1 N D IH0 D	1	5	rescinded	3.02	rescinded (3.0)	rescinded, broken-winded, long-winded, short-winded, winded
IY1 Z ER0 Z	1	5	caesars	2.99	caesars (3.0),  caesars' (3.0),  caesar's (2.9),  tweezers (2.8)	caesars, caesars', caesar's, tweezers, freezers
AA1 SH IY0	1	5	kobayashi	2.91	kobayashi (2.9),  washy (2.6)	kobayashi, takahashi, takashi, washy, hayashi
UW1 P IY0	1	5	snoopy	2.8	snoopy (2.8),  whoopi (2.7),  groupie (2.6)	snoopy, whoopi, loopy, groupie, droopy
UH1 K IH0 NG	1	4	looking	5.57	looking (5.6)	looking, cooking, booking, hooking
EY1 B IY0	1	4	maybe	5.45	maybe (5.5),  baby (5.3),  nabi (2.6)	maybe, baby, crybaby, nabi
OW1 K AH0 L	1	4	local	5.43	local (5.4)	local, vocal, focal, socal
IH1 V AH0 N	1	4	given	5.41	given (5.4)	given, driven, forgiven, riven
AE1 P IY0	1	4	happy	5.35	happy (5.3)	happy, unhappy, scrappy, snappy
AE1 T AH0	1	4	data	5.34	data (5.3)	data, strata, atta, rata
EY1 T AH0	1	4	data	5.34	data (5.3)	data, beta, theta, zeta
AE1 DH ER0	1	4	rather	5.32	rather (5.3)	rather, gather, mather, lather
AO1 K IH0 NG	1	4	talking	5.29	talking (5.3)	talking, walking, stalking, hawking
AE1 M P AH0 L	1	4	example	5.27	example (5.3)	example, sample, ample, trample
AA1 R AH0 N T	1	4	current	5.27	current (5.3),  aren't (5.0),  tarrant (2.8)	current, aren't, arent, tarrant
ER1 AH0 N T	1	4	current	5.27	current (5.3),  weren't (4.7)	current, weren't, concurrent, recurrent
AA1 D AH0 L	1	4	model	5.13	model (5.1),  caudal (2.8),  waddle (2.6)	model, remodel, caudal, waddle
EH1 K S IH0 Z	1	4	x.'s	5.11	x.'s (5.1),  sexes (3.4),  x's (3.0)	x.'s, sexes, exes, x's
OW1 B ER0	1	4	october	5.11	october (5.1),  oct (4.3),  oct. (4.3)	october, oct, oct., sober
AY1 T AH0 L	1	4	title	5.1	title (5.1),  vital (4.4)	title, vital, recital, entitle
UW1 N Y AH0 N	1	4	union	5.08	union (5.1)	union, soviet-union, reunion, communion
EH1 SH ER0	1	4	pressure	5.01	pressure (5.0),  fresher (3.0)	pressure, cheshire, fresher, refresher
IH1 K L IY0	1	4	quickly	5.0	quickly (5.0)	quickly, prickly, sickly, thickly
IH1 D ER0	1	4	consider	4.99	consider (5.0)	consider, reconsider, bidder, kidder
AH1 D IY0 Z	1	4	studies	4.98	studies (5.0),  buddy's (2.8),  study's (2.5)	studies, buddies, buddy's, study's
AE1 S K IH0 NG	1	4	asking	4.96	asking (5.0)	asking, masking, basking, tasking
AY1 D IY0	1	4	friday	4.96	friday (5.0),  tidy (3.5),  heidi (3.4)	friday, tidy, heidi, untidy
ER1 K ER0 Z	1	4	workers	4.95	workers (5.0),  workers' (5.0),  worker's (3.1)	workers, workers', coworkers, worker's
EH1 L AH0 P T	1	4	developed	4.95	developed (5.0)	developed, undeveloped, underdeveloped, enveloped
UH1 R AH0 N S	1	4	insurance	4.94	insurance (4.9)	insurance, assurance, reassurance, reinsurance
EH1 R IH0 JH	1	4	marriage	4.91	marriage (4.9)	marriage, disparage, intermarriage, remarriage
EH1 K T L IY0	1	4	directly	4.9	directly (4.9)	directly, correctly, indirectly, incorrectly
AE1 T AH0 S	1	4	status	4.87	status (4.9),  lattice (3.4),  gratis (2.9)	status, apparatus, lattice, gratis
AY1 AH0 S T	1	4	highest	4.86	highest (4.9),  biased (3.8)	highest, biased, unbiased, driest
AE1 N AH0 L	1	4	channel	4.85	channel (4.8),  dismantle (3.2)	channel, panel, dismantle, flannel
AE1 SH AH0 N	1	4	fashion	4.82	fashion (4.8)	fashion, passion, compassion, ration
UW1 IH0 S	1	4	louis	4.82	louis (4.8),  louis' (4.8)	louis, louis', lewis, lewis'
AA1 L OW0 Z	1	4	follows	4.81	follows (4.8),  palos (2.6)	follows, swallows, hollows, palos
EH1 N AH0 T	1	4	senate	4.8	senate (4.8),  bennett (4.0),  tenet (3.0)	senate, bennett, tenet, kennett
EH1 L TH IY0	1	4	healthy	4.8	healthy (4.8)	healthy, wealthy, unhealthy, stealthy
AO1 L ER0 Z	1	4	dollars	4.78	dollars (4.8),  callers (3.1)	dollars, callers, installers, trawlers
AE1 N IH0 JH D	1	4	managed	4.76	managed (4.8)	managed, disadvantaged, advantaged, mismanaged
AO1 R N ER0	1	4	corner	4.75	corner (4.8)	corner, warner, foreigner, horner
EH1 N AH0 D	1	4	presented	4.75	presented (4.8)	presented, represented, resented, relented
AE1 N IH0 SH	1	4	spanish	4.73	spanish (4.7)	spanish, vanish, banish, manish
EH1 N T IY0	1	4	plenty	4.72	plenty (4.7),  vicente (3.1)	plenty, twenty, vicente, clemente
IY1 S AH0 Z	1	4	pieces	4.72	pieces (4.7),  lisa's (2.9)	pieces, increases, decreases, lisa's
AA1 F AH0 T	1	4	profit	4.7	profit (4.7),  prophet (4.0),  moffat (3.1)	profit, prophet, nonprofit, moffat
EY1 V Y ER0	1	4	behavior	4.69	behavior (4.7),  xavier (3.5)	behavior, savior, xavier, misbehavior
AH1 NG G ER0	1	4	younger	4.69	younger (4.7)	younger, hunger, unger, monger
IY1 R OW0	1	4	hero	4.68	hero (4.7)	hero, zero, superhero, piero
AE1 L Y AH0 N	1	4	italian	4.66	italian (4.7),  battalion (3.8)	italian, battalion, stallion, medallion
EY1 M AH0 N T	1	4	payment	4.66	payment (4.7),  claimant (3.1)	payment, repayment, claimant, prepayment
OW1 K AH0 S T	1	4	focused	4.65	focused (4.7),  locust (3.0)	focused, focussed, locust, unfocused
AE1 N Y AH0 L	1	4	daniel	4.62	daniel (4.6)	daniel, nathaniel, mcdaniel, spaniel
AH1 G AH0 L	1	4	struggle	4.62	struggle (4.6)	struggle, smuggle, snuggle, juggle
AY1 N IY0	1	4	tiny	4.62	tiny (4.6)	tiny, shiny, whiny, spiny
IH1 K AH0 T	1	4	ticket	4.61	ticket (4.6)	ticket, cricket, wicket, picket
AE1 N T AH0 D	1	4	granted	4.61	granted (4.6)	granted, planted, slanted, supplanted
IH1 K AH0 T S	1	4	tickets	4.6	tickets (4.6)	tickets, wickets, crickets, pickets
OY1 N T AH0 D	1	4	appointed	4.59	appointed (4.6)	appointed, pointed, anointed, jointed
AH1 K T AH0 D	1	4	conducted	4.58	conducted (4.6)	conducted, constructed, instructed, inducted
AE1 D AH0 M	1	4	adam	4.57	adam (4.6),  madame (3.8)	adam, madame, madam, mme
OY1 M AH0 N T	1	4	employment	4.56	employment (4.6)	employment, unemployment, deployment, enjoyment
EY1 JH AH0 N T S	1	4	agents	4.55	agents (4.5),  agents' (4.5),  agent's (2.9)	agents, agents', reagents, agent's
ER1 K AH0 L	1	4	circle	4.55	circle (4.5),  merkel (3.4)	circle, great-circle, merkel, encircle
IY1 JH AH0 N Z	1	4	regions	4.53	regions (4.5),  region's (3.4),  norwegians (2.9)	regions, region's, legions, norwegians
IH1 T N AH0 S	1	4	witness	4.52	witness (4.5),  witness' (4.5)	witness, witness', fitness, eyewitness
IY1 L AH0 N D	1	4	zealand	4.5	zealand (4.5)	zealand, new-zealand, leland, freeland
EH1 F AH0 N	1	4	stephen	4.5	stephen (4.5),  stephan (3.0)	stephen, stephan, steffen, geffen
AY1 L AH0 N D Z	1	4	islands	4.5	islands (4.5),  island's (3.4)	islands, highlands, island's, rhode-island's
ER1 S AH0 L	1	4	universal	4.49	universal (4.5)	universal, rehearsal, reversal, dispersal
EY1 M AH0 N T S	1	4	payments	4.48	payments (4.5),  claimants (3.3),  claimants' (3.3)	payments, claimants, claimants', repayments
IH1 R ER0	1	4	mirror	4.47	mirror (4.5),  clearer (3.7)	mirror, clearer, nearer, shearer
EH1 S AH0 N	1	4	lesson	4.47	lesson (4.5),  lessen (3.4)	lesson, lessen, wesson, essen
EH1 N CH ER0	1	4	adventure	4.46	adventure (4.5)	adventure, venture, indenture, denture
AA1 N AH0 L D	1	4	donald	4.46	donald (4.5)	donald, ronald, mcdonald, macdonald
EY1 B IY0 Z	1	4	babies	4.45	babies (4.5),  babies' (4.5),  baby's (3.7)	babies, babies', baby's, rabies
OW1 N AH0 S	1	4	bonus	4.45	bonus (4.5),  jonas (3.7),  slowness (2.6)	bonus, jonas, onus, slowness
EY1 S M AH0 N T	1	4	replacement	4.44	replacement (4.4)	replacement, basement, placement, displacement
IH1 NG G AH0 L Z	1	4	singles	4.44	singles (4.4)	singles, shingles, jingles, ingles
EH1 N AH0 N T	1	4	lieutenant	4.44	lieutenant (4.4)	lieutenant, tenant, tennant, pennant
OY1 N IH0 D	1	4	disappointed	4.42	disappointed (4.4)	disappointed, anointed, jointed, reappointed
AA1 M IH0 K S	1	4	economics	4.42	economics (4.4)	economics, comics, ergonomics, macroeconomics
AY1 R AH0 S	1	4	virus	4.42	virus (4.4),  iris (3.8)	virus, cyrus, iris, desirous
AH1 JH IH0 Z	1	4	judges	4.42	judges (4.4),  judges' (4.4),  judge's (3.1)	judges, judges', judge's, grudges
AO1 K ER0	1	4	walker	4.42	walker (4.4)	walker, stalker, talker, hawker
AA1 R TH ER0	1	4	arthur	4.41	arthur (4.4)	arthur, port-arthur, macarthur, mcarthur
EH1 Z AH0 N T S	1	4	presents	4.41	presents (4.4),  peasants (3.7),  peasants' (3.7)	presents, peasants, peasants', pheasants
AE1 D AH0 N	1	4	hadn't	4.4	hadn't (4.4),  madden (3.5),  haddon (2.5)	hadn't, madden, mcfadden, haddon
AE1 R OW0	1	4	narrow	4.39	narrow (4.4)	narrow, arrow, barrow, harrow
IH1 G Y ER0 D	1	4	figured	4.39	figured (4.4)	figured, configured, disfigured, reconfigured
AA1 L AH0 N	1	4	fallen	4.39	fallen (4.4),  stalin (3.7),  guatemalan (2.9)	fallen, stalin, pollen, guatemalan
EH1 D AH0 L	1	4	medal	4.39	medal (4.4),  meddle (2.9)	medal, pedal, meddle, peddle
AE1 L AH0 D	1	4	valid	4.38	valid (4.4),  salad (4.2)	valid, salad, invalid, ballad
EY1 G OW0	1	4	diego	4.36	diego (4.4)	diego, san-diego, tobago, winnebago
EY1 N T IH0 D	1	4	painted	4.35	painted (4.3)	painted, acquainted, tainted, fainted
AH1 M P SH AH0 N	1	4	consumption	4.35	consumption (4.3)	consumption, assumption, presumption, resumption
AH1 P SH AH0 N	1	4	corruption	4.35	corruption (4.3)	corruption, disruption, eruption, interruption
IH1 SH IH0 Z	1	4	wishes	4.35	wishes (4.3),  fish's (2.5)	wishes, dishes, fishes, fish's
EY1 T F AH0 L	1	4	grateful	4.35	grateful (4.3)	grateful, hateful, ungrateful, fateful
IH1 N CH IH0 Z	1	4	inches	4.35	inches (4.3),  inches' (4.3),  lynch's (2.7)	inches, inches', lynch's, finches
IY1 R OW0 Z	1	4	heroes	4.35	heroes (4.3),  hero's (3.2)	heroes, superheroes, hero's, zeroes
EH1 N AH0 S	1	4	tennis	4.35	tennis (4.3),  venice (3.9),  vincennes (2.7)	tennis, venice, menace, vincennes
ER1 JH IH0 N	1	4	virgin	4.35	virgin (4.3),  surgeon (4.1)	virgin, surgeon, sturgeon, spurgeon
IH1 B Y UW0 T	1	4	contribute	4.34	contribute (4.3)	contribute, tribute, distribute, redistribute
UW1 S ER0 Z	1	4	producers	4.34	producers (4.3),  producers' (4.3),  producer's (2.6)	producers, producers', transducers, producer's
EH1 N CH AH0 N	1	4	intention	4.33	intention (4.3)	intention, intervention, contravention, abstention
AA1 L AH0 M	1	4	column	4.33	column (4.3),  solemn (3.4),  slalom (3.1),  gollum (2.7)	column, solemn, slalom, gollum
EH1 N S AH0 Z	1	4	expenses	4.33	expenses (4.3)	expenses, defenses, fences, commences
AE1 M IH0 K	1	4	dynamic	4.31	dynamic (4.3)	dynamic, ceramic, panoramic, aerodynamic
